"CHEM_COMP_ID","DESCRIPTOR"
"M0F","AVYRIDIODQDKPX-UHFFFAOYSA-N"
"KEZ","LIUSUWHATTTWPP-IRXDYDNUSA-N"
"SIZ","QWUDJWPZSGMAGG-UXDJRKLDSA-N"
"625","CERJQPWNRISSQS-UHFFFAOYSA-N"
"XQU","BLAGYAGCQKHABH-RKDXNWHRSA-N"
"7KU","HTWQEUNJZRNASZ-SNVBAGLBSA-N"
"3OB","CLCCLHPVIUSCJF-UHFFFAOYSA-N"
"UBZ","MAJTVQOCKLWFFD-HOTGVXAUSA-N"
"L5W","AHBXSKNCOQIRKT-FKQCQYRASA-N"
"GEW","BBDJOFZXYVEURD-YMZYAJTMSA-N"
"BX4","BJLAHYUZLVYPAA-UHFFFAOYSA-N"
"WXY","VQJWUFYETGKQGL-UHFFFAOYSA-N"
"TV7","YPIRISRXAGVBOC-RSXGOPAZSA-N"
"9HU","NEUJCAPQABFKCJ-UHFFFAOYSA-N"
"N9G","CFHPNFDEUWSEIR-OAQYLSRUSA-N"
"S2K","QIFGMZZTJRULMA-RNJXMRFFSA-N"
"JA4","AZINZNCYZJSBMU-XMMPIXPASA-N"
"F9H","CIOWYUCMYWZPAD-JOCHJYFZSA-N"
"TQF","KYSPUCBQKNTERK-HHHXNRCGSA-N"
"LMK","BUXLRCGOLVGJEI-LHQLQFMZSA-O"
"M8E","XUKYGMIDWKBMIW-IWCJZZDYSA-N"
"TEA","ZMANZCXQSJIPKH-UHFFFAOYSA-O"
"4T7","QFNOPZNUHSDHKZ-LBPRGKRZSA-N"
"OJL","AMHWQBGAKJESFB-UHFFFAOYSA-N"
"AZC","UQKBNLXZEGBQAF-JAJWTYFOSA-N"
"486","VKHAHZOOUSRJNA-GCNJZUOMSA-N"
"TTF","TXBBUSUXYMIVOS-UHFFFAOYSA-N"
"QB8","DVDLZLUKYIFIOR-UHFFFAOYSA-N"
"E2O","AIRHAMAPWMWFAI-AWEZNQCLSA-N"
"099","VXDKQRWTOJFQKH-BJZITVGISA-N"
"XCP","JWYOAMOZLZXDER-WHFBIAKZSA-N"
"5A3","IZNCMXVIYGYGJI-AQWRHFAGSA-N"
"G27","NKARZGURZMIRMA-RBSFLKMASA-N"
"C6A","IBLLHMQPQAMFLM-WDTRASESSA-N"
"K58","ONVWOXXFKHGWTI-CYBMUJFWSA-N"
"5VC","LCVIRAZGMYMNNT-VVONHTQRSA-N"
"1KT","ODLXCGSAEOWAKV-IMWIBFENSA-N"
"FWH","QFMFGYHKBRNDLH-UHFFFAOYSA-N"
"R2Q","ZIPMVBBAKJZVIG-UHFFFAOYSA-N"
"NQB","ZMAZXHICVRYLQN-UHFFFAOYSA-N"
"68E","IGHQXATTWZGDIH-UHFFFAOYSA-N"
"50H","QJHCMTUHZIJSPR-UHFFFAOYSA-N"
"OS4","OQURWADGXKZUIH-UHFFFAOYSA-N"
"MJB","WFCSWCVEJLETKA-UHFFFAOYSA-N"
"551","MTDVIYKGVPWNHL-UHFFFAOYSA-N"
"MSY","ASVVGQURNHNITH-UHFFFAOYSA-N"
"V4V","MZJVFMHLRQGSTA-UHFFFAOYSA-N"
"A9O","RWCFZRPXMBQSOA-UHFFFAOYSA-N"
"NEE","KRDUMXYLMIWMMP-UHFFFAOYSA-N"
"LVU","LIFGJTPUCFFUJO-UHFFFAOYSA-N"
"ZGU","RFPODYUIIQSFDZ-BYPYZUCNSA-N"
"JJM","MLUHWTUFJZKUST-UHFFFAOYSA-N"
"PNN","JGSARLDLIJGVTE-MBNYWOFBSA-N"
"7RX","ADSALMJPJUKESW-RXMQYKEDSA-N"
"O34","JHYVWAMMAMCUIR-NIJJZIDKSA-N"
"M9A","CZZSYVLCOGCXLL-UHFFFAOYSA-N"
"D3Z","WUBAOANSQGKRHF-UCVXFZOQSA-N"
"FZ0","BZQGZAVHPZXJBL-UHFFFAOYSA-N"
"7VC","HNYBTVKYLVLWCB-UHFFFAOYSA-N"
"AIV","MPIJUROFANKBHX-UHFFFAOYSA-K"
"PBX","TYRFQQZIVRBJAK-UHFFFAOYSA-N"
"DID","OQLKNTOKMBVBKV-UHFFFAOYSA-N"
"C1F","WMCQWXZMVIETAO-UHFFFAOYSA-N"
"VU4","MRBFWTDIRYEDBQ-UHFFFAOYSA-N"
"YAJ","GLBAXWCHBKFKRM-NEPJUHHUSA-N"
"S65","ZXFXBSWRVIQKOD-WOBUKFROSA-N"
"9NJ","JHVYRIYZUSZRSR-KHOMTPLRSA-N"
"3FD","ZXGGCBQORXDVTE-UMCMBGNQSA-N"
"3QO","DBOLXXRVIFGDTI-UHFFFAOYSA-N"
"O8B","LKAZLKLHUAIYCE-UHFFFAOYSA-N"
"DVS","LTPOXWXTHQVJKG-WVSUBDOOSA-N"
"D6Q","IJPAFYMYOCLEBL-UHFFFAOYSA-N"
"1C8","HGHXLCCYGNWFLX-OAHLLOKOSA-N"
"5V3","YIEUEKVBIVGYSC-UHFFFAOYSA-N"
"1I1","HTTMPVFKQATMIS-LURJTMIESA-N"
"4P4","FYXCIBJXJYBWPX-UHFFFAOYSA-N"
"EVM","JFLJYKRWFQAEDK-QLKAYGNNSA-N"
"P4X","CJVJSGBELMMESS-DIFFPNOSSA-N"
"VIP","NDGQNHQZSMXHET-SECBINFHSA-N"
"IFG","IWVRQJNSUOIUFV-VGRMVHKJSA-N"
"O0E","ZPEDIFPSGYUDLA-WVFSVQOHSA-N"
"UCG","UIVVUPHFWRPLKC-VMIOUTBZSA-N"
"J78","UEIUDEUUVLYRFV-UHFFFAOYSA-N"
"RM7","ZJUBDERDNUODTD-UHFFFAOYSA-N"
"PVT","HOEAQQRLTIBABU-UHFFFAOYSA-N"
"DB5","ZBJGIWFCJONVKZ-ZETCQYMHSA-N"
"CJ0","AXNKRMOVKAQSAE-UHFFFAOYSA-N"
"JYA","GQYPTVVKCVYXLX-UHFFFAOYSA-N"
"6TH","DQPDUJDTFYTAKL-UXHICEINSA-N"
"Z3N","HUOLMBXGHHSYHC-QWQFASRJSA-N"
"2SY","BMZCMTIGPMYJKO-UHFFFAOYSA-N"
"2C9","AXNUJYHFQHQZBE-UHFFFAOYSA-N"
"V7C","AWGRQXJTSPUZDZ-VIFPVBQESA-N"
"F1G","HDKGQVZBBSICLG-UHFFFAOYSA-N"
"Q83","YZWRRAZXWGNXFP-UHFFFAOYSA-N"
"MUA","XJEJWDFDVPDMAS-UHFFFAOYSA-N"
"6DP","CAMWAWBWBXRPRP-UHFFFAOYSA-N"
